product_id,date,stock_received,damaged_stock
153019,01-03-2023,4,1
848226,01-03-2023,4,1
965755,01-03-2023,1,0
39154,01-03-2023,4,0
34186,01-03-2023,3,1
478531,01-03-2023,4,1
812607,01-03-2023,4,0
818990,01-03-2023,4,0
284460,01-03-2023,4,0
654297,01-03-2023,4,1
376447,01-03-2023,4,0
888807,01-03-2023,1,0
41853,01-03-2023,4,0
257719,01-03-2023,4,0
799952,01-03-2023,3,0
833557,01-03-2023,4,0
324809,01-03-2023,1,0
592784,01-03-2023,3,0
487065,01-03-2023,4,0
734789,01-03-2023,4,0
654623,01-03-2023,4,0
990993,01-03-2023,1,0
762527,01-03-2023,4,0
602241,01-03-2023,1,1
491521,01-03-2023,3,0
832348,01-03-2023,3,1
567671,01-03-2023,4,0
540618,01-03-2023,3,0
687218,01-03-2023,3,1
328457,01-03-2023,3,0
300159,01-03-2023,3,1
378676,01-03-2023,3,0
532965,01-03-2023,4,0
305754,01-03-2023,1,0
611575,01-03-2023,3,0
621677,01-03-2023,3,0
306177,01-03-2023,4,0
901144,01-03-2023,3,0
53833,01-03-2023,4,0
490602,01-03-2023,4,0
287070,01-03-2023,1,0
317242,01-03-2023,3,0
461804,01-03-2023,3,0
820541,01-03-2023,3,0
91670,01-03-2023,3,1
144124,01-03-2023,3,1
677542,01-03-2023,1,0
604184,01-03-2023,1,0
968887,01-03-2023,4,0
700048,01-03-2023,3,1
473647,01-03-2023,3,0
753354,01-03-2023,3,0
490939,01-03-2023,4,0
970529,01-03-2023,3,1
433521,01-03-2023,3,1
927651,01-03-2023,3,0
942001,01-03-2023,3,1
585299,01-03-2023,3,0
52729,01-03-2023,4,0
661577,01-03-2023,3,0
951463,01-03-2023,4,0
243235,01-03-2023,3,1
564692,01-03-2023,2,0
131748,01-03-2023,2,0
913428,01-03-2023,2,0
726958,01-03-2023,3,0
425341,01-03-2023,1,0
677169,01-03-2023,2,0
26060,01-03-2023,3,0
237083,01-03-2023,2,0
669378,01-03-2023,3,0
890623,01-03-2023,2,0
818990,01-03-2023,1,0
349294,01-03-2023,3,1
552883,01-03-2023,2,0
555121,01-03-2023,3,0
89084,01-03-2023,2,0
329351,01-03-2023,3,0
324809,01-03-2023,2,0
337168,01-03-2023,2,0
659290,01-03-2023,3,0
883013,01-03-2023,3,0
455083,01-03-2023,2,0
949818,01-03-2023,3,0
361361,01-03-2023,3,0
378230,01-03-2023,3,0
762527,01-03-2023,1,0
587420,01-03-2023,2,0
491521,01-03-2023,1,0
914071,01-03-2023,2,0
567671,01-03-2023,3,0
378287,01-03-2023,2,0
118820,01-03-2023,3,0
667163,01-03-2023,2,0
228286,01-03-2023,1,0
365132,01-03-2023,3,0
689769,01-03-2023,2,0
305754,01-03-2023,3,0
623234,01-03-2023,3,0
272170,01-03-2023,3,0
487931,01-03-2023,2,0
901144,01-03-2023,2,0
945635,01-03-2023,3,0
490602,01-03-2023,3,0
131136,01-03-2023,2,0
993331,01-03-2023,1,0
807452,01-03-2023,2,0
36412,01-03-2023,2,0
94225,01-03-2023,2,0
435929,01-03-2023,2,0
552496,01-03-2023,2,0
144124,01-03-2023,3,0
697683,01-03-2023,3,0
894539,01-03-2023,3,0
365133,01-03-2023,2,0
767398,01-03-2023,3,0
473647,01-03-2023,1,0
647462,01-03-2023,3,0
803607,01-03-2023,3,0
859361,01-03-2023,3,0
600767,01-03-2023,2,0
784827,01-03-2023,3,0
6405,01-03-2023,3,0
820973,01-03-2023,3,0
367391,01-03-2023,3,0
930284,01-03-2023,3,0
82484,01-03-2023,3,0
707935,01-03-2023,3,0
52729,01-03-2023,3,0
661577,01-03-2023,3,0
256783,01-03-2023,3,0
537274,01-03-2023,1,0
757274,01-03-2023,3,0
613942,01-03-2023,1,0
723678,01-03-2023,1,0
677169,01-03-2023,3,0
706112,01-03-2023,3,0
557908,01-03-2023,2,0
837480,01-03-2023,2,0
566052,01-03-2023,2,0
137909,01-03-2023,2,0
264803,01-03-2023,3,0
851978,01-03-2023,3,0
123983,01-03-2023,3,0
679284,01-03-2023,3,0
240179,01-03-2023,3,0
673058,01-03-2023,3,0
516376,01-03-2023,1,0
478531,01-03-2023,3,0
812607,01-03-2023,2,0
871592,01-03-2023,2,0
70969,01-03-2023,3,0
397973,01-03-2023,3,0
462526,01-03-2023,2,0
217710,01-03-2023,2,0
89084,01-03-2023,3,0
888807,01-03-2023,2,0
891833,01-03-2023,1,0
500739,01-03-2023,2,0
798639,01-03-2023,3,0
329351,01-03-2023,3,0
883013,01-03-2023,3,0
592784,01-03-2023,2,0
734789,01-03-2023,2,0
949818,01-03-2023,1,0
690565,01-03-2023,1,0
378230,01-03-2023,2,0
658389,01-03-2023,3,0
481843,01-03-2023,3,0
118820,01-03-2023,2,0
712003,01-03-2023,3,0
969851,01-03-2023,2,0
954722,01-03-2023,3,0
925482,01-03-2023,3,0
306177,01-03-2023,1,0
272170,01-03-2023,3,0
53833,01-03-2023,3,0
903336,01-03-2023,1,0
131136,01-03-2023,3,0
807452,01-03-2023,2,0
461804,01-03-2023,2,0
704868,01-03-2023,2,0
18035,01-03-2023,2,0
336847,01-03-2023,3,0
144124,01-03-2023,2,0
677542,01-03-2023,3,0
604184,01-03-2023,3,0
697683,01-03-2023,1,0
739534,01-03-2023,2,0
365133,01-03-2023,3,0
133542,01-03-2023,1,0
9436,01-03-2023,3,0
112390,01-03-2023,3,0
647462,01-03-2023,3,0
34200,01-03-2023,3,0
